table,project,link,sponsors
2,Hackaton,http://hacknyu2017.devpost.com/submissions/67251-hackaton,""
3,EasyFloss,http://hacknyu2017.devpost.com/submissions/67276-easyfloss,""
4,Healthy Virtual Reality,http://hacknyu2017.devpost.com/submissions/67328-healthy-virtual-reality,""
5,Findit,http://hacknyu2017.devpost.com/submissions/67365-findit,"#HackHarassment, Amazon Web Services - Best Use of AWS"
6,CalPal,http://hacknyu2017.devpost.com/submissions/67405-calpal,"Educational Technology, Make School Prize"
7,Natural Balance,http://hacknyu2017.devpost.com/submissions/67467-natural-balance,""
8,Edu-venture,http://hacknyu2017.devpost.com/submissions/67476-edu-venture,"Educational Technology, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Make School Prize"
9,muse,http://hacknyu2017.devpost.com/submissions/67486-muse,""
10,NYU Living,http://hacknyu2017.devpost.com/submissions/67523-nyu-living,"Make School Prize, Sustainability & Social Impact"
11,HaikuBot,http://hacknyu2017.devpost.com/submissions/67536-haikubot,"Viacom Prize , Make School Prize"
12,Therapy VR -- Healthcare,http://hacknyu2017.devpost.com/submissions/67554-therapy-vr-healthcare,""
13,Tadu,http://hacknyu2017.devpost.com/submissions/67569-tadu,"Best Domain Name from Domain.com, Make School Prize"
14,NID,http://hacknyu2017.devpost.com/submissions/67590-nid,"#HackHarassment, Make School Prize"
15,Fashion Tree,http://hacknyu2017.devpost.com/submissions/67598-fashion-tree,"Verizon Prize, #HackHarassment, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Viacom Prize , Make School Prize"
16,Den-Manager,http://hacknyu2017.devpost.com/submissions/67600-den-manager,Verizon Prize
17,Buddy System,http://hacknyu2017.devpost.com/submissions/67603-buddy-system,Amazon Web Services - Best Use of AWS
18,Schedule generator,http://hacknyu2017.devpost.com/submissions/67611-schedule-generator,"Verizon Prize, #HackHarassment, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Viacom Prize , Make School Prize"
19,Meetinder,http://hacknyu2017.devpost.com/submissions/67612-meetinder,""
20,STrip,http://hacknyu2017.devpost.com/submissions/67620-strip,Sustainability & Social Impact
21,Panac,http://hacknyu2017.devpost.com/submissions/67635-panac,Make School Prize
22,VoiceHover- Turning Vision to Voice,http://hacknyu2017.devpost.com/submissions/67647-voicehover-turning-vision-to-voice,""
23,Quasar Quiz,http://hacknyu2017.devpost.com/submissions/67655-quasar-quiz,"Educational Technology, Viacom Prize "
24,Lung Cancer Detection using Deep Learning,http://hacknyu2017.devpost.com/submissions/67656-lung-cancer-detection-using-deep-learning,Healthcare
25,Med-Care,http://hacknyu2017.devpost.com/submissions/67660-med-care,"Healthcare, Best Domain Name from Domain.com"
26,NYU Go,http://hacknyu2017.devpost.com/submissions/67661-nyu-go,"Educational Technology, Make School Prize"
27,asdasdas,http://hacknyu2017.devpost.com/submissions/67665-asdasdas,""
28,SolarSystemScroller,http://hacknyu2017.devpost.com/submissions/67668-solarsystemscroller,Educational Technology
29,WATGuru,http://hacknyu2017.devpost.com/submissions/67669-watguru,"Educational Technology, Best Domain Name from Domain.com, Viacom Prize "
